"Device Name","Ticket Name","Order Source","Number of Items","Items in Ticket","Completion Time (seconds)","Time Created","Time Completed","Time Due","Time Recalled"
"MILK","","Point of Sale","2","1x 8oz/Small; 1x Fiji Water","66","2026-02-09 07:31:08","2026-02-09 07:32:14","",""
"MILK","","Point of Sale","2","1x Fruit Juice; 1x 12oz/Medium","527","2026-02-09 07:34:23","2026-02-09 07:43:10","",""
"MILK","","Point of Sale","3","1x 16oz/ICED MEDIUM; 2x 12oz/Medium","425","2026-02-09 07:36:06","2026-02-09 07:43:11","",""
"MILK","216746498","Square Online","2","1x 12oz/ICED SMALL; 1x 6oz","423","2026-02-09 07:36:08","2026-02-09 07:43:11","2026-02-09 07:36:04",""
"MILK","","Point of Sale","3","1x 12oz/ICED SMALL; 1x 12oz/Medium; 1x 12oz/Medium","336","2026-02-09 07:40:37","2026-02-09 07:46:13","",""
"MILK","","Point of Sale","2","1x 8oz/Small; 1x 6oz","125","2026-02-09 07:46:04","2026-02-09 07:48:09","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","149","2026-02-09 07:46:23","2026-02-09 07:48:52","",""
"MILK","","Point of Sale","3","1x A Sweet Muffin; 1x Pupacino; 1x 12oz/Medium","362","2026-02-09 07:46:44","2026-02-09 07:52:46","",""
"MILK","","Point of Sale","1","1x 4oz/Pic, Esp, Dop","346","2026-02-09 07:47:00","2026-02-09 07:52:46","",""
"MILK","","Point of Sale","1","1x 8oz/Small","285","2026-02-09 07:48:02","2026-02-09 07:52:47","",""
"MILK","","Point of Sale","1","1x 16oz/Large","351","2026-02-09 07:48:19","2026-02-09 07:54:10","",""
"MILK","1847531050","Square Online","2","1x 12oz/ICED SMALL; 1x 16oz/ICED MEDIUM","808","2026-02-09 07:48:28","2026-02-09 08:01:56","2026-02-09 07:48:24",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","207","2026-02-09 07:50:43","2026-02-09 07:54:10","",""
"MILK","","Point of Sale","3","1x TOASTIE; 1x 6oz; 1x Pupacino","630","2026-02-09 07:51:26","2026-02-09 08:01:56","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","506","2026-02-09 07:53:31","2026-02-09 08:01:57","",""
"MILK","","Point of Sale","1","1x 4oz/Pic, Esp, Dop","427","2026-02-09 07:57:40","2026-02-09 08:04:47","",""
"MILK","","Point of Sale","1","1x 12oz/ICED SMALL","402","2026-02-09 07:58:04","2026-02-09 08:04:46","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","299","2026-02-09 07:59:45","2026-02-09 08:04:44","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","290","2026-02-09 07:59:56","2026-02-09 08:04:46","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","301","2026-02-09 08:01:16","2026-02-09 08:06:17","",""
"MILK","","Point of Sale","2","1x 8oz/Small; 1x 8oz/Small","678","2026-02-09 08:01:30","2026-02-09 08:12:48","",""
"MILK","","Point of Sale","2","1x 16oz/ICED MEDIUM; 1x A Savoury Muffin","594","2026-02-09 08:02:54","2026-02-09 08:12:48","",""
"MILK","","Point of Sale","3","1x 12oz/Medium; 1x Fiji Water; 1x Babycino","529","2026-02-09 08:04:00","2026-02-09 08:12:49","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","489","2026-02-09 08:04:40","2026-02-09 08:12:49","",""
"MILK","","Point of Sale","1","1x 8oz/Small","409","2026-02-09 08:06:00","2026-02-09 08:12:49","",""
"MILK","","Point of Sale","3","1x 12oz/ICED SMALL; 1x Breakfast Wrap; 1x 500g Beans","768","2026-02-09 08:11:09","2026-02-09 08:23:57","",""
"MILK","","Point of Sale","2","1x 16oz/Large; 1x 8oz/Small","750","2026-02-09 08:11:27","2026-02-09 08:23:57","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","624","2026-02-09 08:13:34","2026-02-09 08:23:58","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","561","2026-02-09 08:14:38","2026-02-09 08:23:59","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","467","2026-02-09 08:16:12","2026-02-09 08:23:59","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 16oz/Large","915","2026-02-09 08:22:19","2026-02-09 08:37:34","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","878","2026-02-09 08:22:56","2026-02-09 08:37:34","",""
"MILK","","Point of Sale","1","1x 16oz/Large","774","2026-02-09 08:24:41","2026-02-09 08:37:35","",""
